rpm,hp,torque
3910,3.51,6.41
3920,3.52,6.44
3930,3.53,6.47
3940,3.54,6.51
3950,3.55,6.55
3960,3.57,6.56
3970,3.59,6.57
3980,3.61,6.58
3990,3.63,6.59
4000,3.6,6.5
4010,3.63,6.52
4020,3.66,6.54
4030,3.69,6.56
4040,3.72,6.58
4050,3.75,6.6
4060,3.78,6.62
4070,3.81,6.64
4080,3.84,6.66
4090,3.87,6.68
4100,3.9,6.7
4110,3.91,6.71
4120,3.92,6.72
4130,3.93,6.73
4140,3.94,6.74
4150,3.95,6.75
4160,3.96,6.76
4170,3.97,6.77
4180,3.98,6.78
4190,3.99,6.79
4200,4,6.8
4210,4.02,6.82
4220,4.04,6.84
4230,4.06,6.86
4240,4.08,6.88
4250,4.1,6.9
4260,4.12,6.92
4270,4.14,6.94
4280,4.16,6.96
4290,4.18,6.98
4300,4.2,7
4310,4.22,7.01
4320,4.24,7.02
4330,4.26,7.03
4340,4.28,7.04
4350,4.3,7.05
4360,4.32,7.06
4370,4.34,7.07
4380,4.36,7.08
4390,4.38,7.09
4400,4.4,7.1
4410,4.41,7.11
4420,4.42,7.12
4430,4.43,7.13
4440,4.44,7.14
4450,4.45,7.15
4460,4.46,7.16
4470,4.47,7.17
4480,4.48,7.18
4490,4.49,7.19
4500,4.5,7.2
4510,4.53,7.21
4520,4.56,7.22
4530,4.59,7.23
4540,4.62,7.24
4550,4.65,7.3
4560,4.68,7.32
4570,4.71,7.34
4580,4.74,7.36
4590,4.77,7.38
4600,4.8,7.4
4610,4.81,7.41
4620,4.82,7.42
4630,4.83,7.43
4640,4.84,7.44
4650,4.85,7.45
4660,4.86,7.46
4670,4.87,7.47
4680,4.88,7.48
4690,4.89,7.49
4700,4.9,7.5
4710,4.92,7.51
4720,4.94,7.52
4730,4.96,7.53
4740,4.98,7.54
4750,5,7.55
4760,5.02,7.56
4770,5.04,7.57
4780,5.06,7.58
4790,5.08,7.59
4800,5.1,7.6
4810,5.12,7.61
4820,5.14,7.62
4830,5.16,7.63
4840,5.18,7.64
4850,5.2,7.65
4860,5.22,7.66
4870,5.24,7.67
4880,5.26,7.68
4890,5.28,7.69
4900,5.3,7.7
4910,5.32,7.71
4920,5.34,7.72
4930,5.36,7.73
4940,5.38,7.74
4950,5.4,7.75
4960,5.42,7.76
