t-long,t-lat,tn-long,tn-lat
51.45316493333334,25.490372100000002,51.45316493333334,25.490372100000002
51.45317359666667,25.490367670000005,51.45317359666667,25.490367670000005
51.45318226666667,25.490363243333334,51.45318226666667,25.490363243333334
51.45319094333334,25.490358836666672,51.45319094333334,25.490358836666672
51.45319963333334,25.49035444666667,51.45319963333334,25.49035444666667
51.45320833000001,25.490350070000005,51.45320833000001,25.490350070000005
51.45321703666667,25.490345703333336,51.45321703666667,25.490345703333336
51.45322575333334,25.490341353333335,51.45322575333334,25.490341353333335
51.453234480000006,25.49033702333334,51.453234480000006,25.49033702333334
51.45324321,25.490332700000003,51.45324321,25.490332700000003
51.45325194333334,25.490328383333335,51.45325194333334,25.490328383333335
51.45326068000001,25.490324073333333,51.45326068000001,25.490324073333333
51.45326942333334,25.490319766666673,51.45326942333334,25.490319766666673
51.45327816666667,25.49031546333334,51.45327816666667,25.49031546333334
51.45328692666668,25.490311183333336,51.45328692666668,25.490311183333336
51.453295700000005,25.490306933333336,51.453295700000005,25.490306933333336
51.453304486666674,25.490302706666668,51.453304486666674,25.490302706666668
51.45331327666668,25.49029848333334,51.45331327666668,25.49029848333334
51.45332208000001,25.490294283333334,51.45332208000001,25.490294283333334
51.45333090000001,25.490290110000004,51.45333090000001,25.490290110000004
51.45333973000001,25.49028596,51.45333973000001,25.49028596
51.453348566666676,25.490281816666666,51.453348566666676,25.490281816666666
51.45335741666668,25.490277696666666,51.45335741666668,25.490277696666666
51.453366280000004,25.49027359666667,51.453366280000004,25.49027359666667
51.45337515,25.490269513333338,51.45337515,25.490269513333338
51.45338402333334,25.49026544,51.45338402333334,25.49026544
51.45339290666668,25.49026138333334,51.45339290666668,25.49026138333334
51.45340180000001,25.490257343333333,51.45340180000001,25.490257343333333
51.453410700000006,25.490253310000003,51.453410700000006,25.490253310000003
51.453419610000005,25.490249300000002,51.453419610000005,25.490249300000002
51.45342853666668,25.490245320000003,51.45342853666668,25.490245320000003
