tn-long,tn-lat,inner-long,inner-lat,outer-long,outer-lat
51.45016584000001,25.488428266666677,51.450191611236676,25.48845368250436,51.45013088876334,25.488418857495642
51.45016125000001,25.48843627,51.45018620327656,25.488462497816673,51.450126596723436,25.48842579551668
51.4501564,25.488444146666676,51.450180669130134,25.48847101646054,51.450122010869876,25.4884328168728
51.450151340000005,25.48845191666667,51.450175061429654,25.48847927741588,51.45011717190369,25.488439922584117
51.45014611666667,25.4884596,51.45016953860447,25.4884872202228,51.45011207472888,25.488447246443876
51.450140806666674,25.48846723333334,51.45016405304854,25.488495002849145,51.450106840284775,25.48845467048419
51.45013544666666,25.48847483666667,51.450158548504014,25.48850272700529,51.45010154482933,25.488462099661383
51.45013004666667,25.488482413333337,51.45015289317224,25.48851051664107,51.45009625349444,25.48846938335894
51.45012457333334,25.488489950000005,51.45014720436419,25.488518229042075,51.4500908756358,25.488476670957933
51.45011904,25.488497450000004,51.450141514297876,25.488525855208277,51.4500854123688,25.4884839914584
51.45011346333334,25.488504923333338,51.45013603450925,25.48853325078677,51.45007979215743,25.48849157587991
51.45010791333334,25.48851241333334,51.450130581106635,25.488540662745887,51.450074198893375,25.488499177254116
51.450102390000005,25.48851992,51.45012519501487,25.48854805869079,51.450068611651794,25.48850684797589
51.45009690333333,25.48852745333334,51.45011983206131,25.488555488640245,51.450063074605374,25.488514518026435
51.45009145333334,25.48853500333334,51.450114523157836,25.488562921189196,51.45005756350885,25.48852223214414
51.45008604333334,25.488542576666667,51.45010927630817,25.48857035713148,51.45005208369186,25.488529996201862
51.45008068000001,25.48855017666667,51.45010401173641,25.488577874581537,51.45004667493027,25.4885377187518
51.45007534333334,25.48855779666667,51.45009878778548,25.48858539742184,51.45004129221452,25.488545469244823
51.45007004,25.48856543333333,51.45009357436455,25.48859295604025,51.45003595230212,25.488553210626414
51.45006476333334,25.488573083333332,51.45008836497869,25.488600547318494,51.45003064835468,25.48856093934818
51.45005950666668,25.488580743333337,51.45008315709318,25.488608165564663,51.4500253695735,25.488568661102015
51.45005426333334,25.48858841333334,51.4500779492853,25.488615804840574,51.45002011071473,25.488576375159443
51.45004903000002,25.48859609000001,51.45007271595193,25.488623481507283,51.45001487738142,25.48858405182606
51.45004379666668,25.48860376666667,51.45006747344081,25.488631166744323,51.45000964655921,25.48859171992235
51.45003856000001,25.488611443333337,51.450062303735024,25.488638784392258,51.45000438293168,25.48859947560775
51.45003334333335,25.488619130000004,51.45005732615798,25.488646259572032,51.449999067175376,25.488607453761308
51.45002819666668,25.48862685666667,51.45005259703506,25.488653605620346,51.449993756298305,25.488615687712997
51.45002317666668,25.48863464666667,51.45004772037086,25.488661262864262,51.44998867962914,25.488623657135747
51.4500182,25.488642460000005,51.45004258760441,25.488669220246774,51.44998376572894,25.48863127308658
51.45001317666667,25.488650246666676,51.45003742386779,25.48867713654321,51.449978796132235,25.488638890123454
51.45000811000001,25.488658013333332,51.45003248853551,25.488684782467846,51.44997367813117,25.48864681753216
51.45000308333334,25.488665800000003,51.45002757452806,25.488692465685887,51.44996860547196,25.488654747647466
51.44999809000001,25.488673606666676,51.4500224466865,25.488700395965754,51.44996366664684,25.488662384034253
51.44999305666667,25.488681390000004,51.450017307621906,25.488708277453977,51.449958672378116,25.48867004254603
51.44998799000001,25.488689160000003,51.45001232854017,25.48871596703902,51.449953571459844,25.488677919627655
51.449982950000006,25.488696943333338,51.45000749733733,25.488723557159048,51.44994844932935,25.48868596284096
51.44997797333334,25.488704760000005,51.450002650608305,25.48873125181237,51.44994342272505,25.488693941520953
51.44997303666668,25.488712596666662,51.44999780923264,25.48873899776235,51.44993845076739,25.488701895570987
51.449968130000016,25.48872044666667,51.4499929150994,25.488746836368655,51.449933538233964,25.48870976363134
51.44996322666668,25.4887283,51.44998804227059,25.488754660154118,51.449928624396094,25.48871765317922
51.44995833333334,25.48873615666667,51.44998321336761,25.488762455292434,51.4499237066324,25.488725591374244
51.44995346,25.48874402333334,51.44997841674228,25.488770248853637,51.44991880325773,25.48873355781304
51.44994861000001,25.488751903333338,51.449973609482704,25.488778087655373,51.449913937184,25.488741492344634
51.44994377333335,25.488759790000003,51.449968776260924,25.488785972036926,51.449909097072414,25.488749387963093
51.44993893666667,25.48876768000001,51.44996386304699,25.488793935228852,51.44990429028637,25.48875717810449
51.44993407666668,25.48877555666667,51.44995892625922,25.488801884915876,51.449899460407444,25.488764955084132
51.44992919333333,25.488783420000004,51.449953987426696,25.488809800632648,51.44989459923998,25.488772746034027
51.44992429333334,25.488791273333337,51.44994912144506,25.48881762208223,51.44988968522162,25.488780644584445
51.44991940333334,25.488799133333337,51.44994423144506,25.48882548208223,51.44988479522162,25.488788504584445
51.44991451333334,25.488806993333338,51.44993932347137,25.488833360244328,51.44987990986198,25.48879634642234
51.44990961666667,25.488814853333334,51.449934401766065,25.488841243035314,51.449875024900614,25.488804170298028
51.44990471333334,25.48882270666667,51.44992960932569,25.488848991564282,51.44987007734099,25.488812168435715
51.44989984333334,25.48883058,51.44992486416046,25.488856743700246,51.44986516250622,25.488820196299763
51.44989501333334,25.488838470000005,51.449920152940614,25.488864518882714,51.44986028705939,25.488828241117282
51.44989022,25.48884638,51.44991535960734,25.488872428882644,51.44985549372603,25.488836151117354
51.44988542666668,25.48885429,51.44991055395712,25.48888035036578,51.4498507060429,25.488844042967575
51.44988063000001,25.488862196666677,51.4499056845234,25.488888328268274,51.44984593547662,25.488851858398398
51.44987581000001,25.488870093333336,51.449900809482685,25.488896277655392,51.44984113718401,25.48885968234461
