tn-long,tn-lat,inner-long,inner-lat,outer-long,outer-lat
51.45016584000001,25.488428266666677,51.450221972473344,25.48847109500872,51.45010052752667,25.488401444991283
51.45016125000001,25.48843627,51.45021600655312,25.48848084896667,51.450096793446875,25.488407444366683
51.4501564,25.488444146666676,51.45020999826026,25.488490116254408,51.45009268173975,25.48841371707893
51.450151340000005,25.48845191666667,51.45020400619264,25.488498954831762,51.450088227140704,25.488420245168236
51.45014611666667,25.4884596,51.45019827054227,25.48850720711226,51.450083342791075,25.488427259554417
51.450140806666674,25.48846723333334,51.45019265943042,25.488515169031622,51.45007823390289,25.488434504301715
51.45013544666666,25.48847483666667,51.45018705034135,25.488523040677244,51.450073042991995,25.48844178598943
51.45013004666667,25.488482413333337,51.45018121301114,25.488531083282133,51.45006793365554,25.488448816717877
51.45012457333334,25.488489950000005,51.45017536872839,25.488539008084146,51.450062711271606,25.488455891915862
51.45011904,25.488497450000004,51.450169565262414,25.488546787083212,51.45005736140426,25.488463059583463
51.45011346333334,25.488504923333338,51.45016415568516,25.4885540882402,51.45005167098152,25.48847073842648
51.45010791333334,25.48851241333334,51.45015877221327,25.488561405491772,51.45004600778674,25.48847843450823
51.450102390000005,25.48851992,51.450153486696415,25.48856866404824,51.45004031997025,25.48848624261844
51.45009690333333,25.48852745333334,51.45014821078928,25.488575973947146,51.450034695877406,25.488494032719533
51.45009145333334,25.48853500333334,51.45014300298233,25.488583265711725,51.450029083684356,25.48850188762161
51.45008604333334,25.488542576666667,51.450137872616324,25.48859053759629,51.4500234873837,25.48850981573705
51.45008068000001,25.48855017666667,51.450132680139475,25.48859795249641,51.4500180065272,25.48851764083693
51.45007534333334,25.48855779666667,51.450127535570964,25.488605361510345,51.450012544429036,25.488525505156318
51.45007004,25.48856543333333,51.45012238539577,25.48861282874717,51.4500071412709,25.488533337919495
51.45006476333334,25.488573083333332,51.4501172232907,25.488620351303656,51.45000179004267,25.48854113536302
51.45005950666668,25.488580743333337,51.45011205085302,25.48862791779599,51.44999647581366,25.488548908870687
51.45005426333334,25.48858841333334,51.45010686857059,25.488635519681136,51.44999119142944,25.48855666031888
51.45004903000002,25.48859609000001,51.45010163523718,25.488643196347898,51.44998595809617,25.488564336985444
51.45004379666668,25.48860376666667,51.45009638688161,25.488650890155313,51.44998073311841,25.48857199651136
51.45003856000001,25.488611443333337,51.450091264136695,25.488658438784515,51.44997542253001,25.48857982121549
51.45003334333335,25.488619130000004,51.450086455649284,25.488665662477395,51.449969937684074,25.488588050855945
51.45002819666668,25.48862685666667,51.45008201740344,25.48867256457402,51.44996433592993,25.488596728759322
51.45002317666668,25.48863464666667,51.45007724074172,25.48868006572852,51.449959159258285,25.48860485427149
51.4500182,25.488642460000005,51.450071998542136,25.488688193826867,51.44995435479121,25.488612299506485
51.45001317666667,25.488650246666676,51.45006673773556,25.48869625975309,51.449949482264465,25.488619766913573
51.45000811000001,25.488658013333332,51.45006189373768,25.488703764935686,51.449944272929,25.48862783506432
51.45000308333334,25.488665800000003,51.45005705905611,25.4887113247051,51.44993912094391,25.488635888628252
51.44999809000001,25.488673606666676,51.45005183670634,25.4887194019315,51.449934276627,25.488643378068506
51.44999305666667,25.488681390000004,51.4500466252438,25.488727394907954,51.44992935475622,25.488650925092053
51.44998799000001,25.488689160000003,51.45004170708033,25.4887349907447,51.44992419291968,25.488658895921976
51.449982950000006,25.488696943333338,51.45003702134133,25.488742354318095,51.44991892532535,25.488667165681914
51.44997797333334,25.488704760000005,51.450032264549925,25.48874990695808,51.44991380878343,25.488675286375244
51.44997303666668,25.488712596666662,51.45002748846526,25.488757548858032,51.44990877153477,25.488683344475305
51.449968130000016,25.48872044666667,51.45002260353211,25.48876537273731,51.44990384980125,25.488691227262688
51.44996322666668,25.4887283,51.45001775120783,25.488773163641568,51.44989891545885,25.48869914969177
51.44995833333334,25.48873615666667,51.450012966735216,25.48878088725153,51.44989395326479,25.48870715941515
51.44995346,25.48874402333334,51.45000822348455,25.488788594373933,51.44988899651546,25.488715212292743
51.44994861000001,25.488751903333338,51.45000344563205,25.488796385310742,51.449884101034655,25.488723194689264
51.44994377333335,25.488759790000003,51.449998615855186,25.488804264073842,51.44987925747815,25.488731095926177
51.44993893666667,25.48876768000001,51.449993649427306,25.488812313791033,51.44987450390605,25.488738799542308
51.44993407666668,25.48877555666667,51.44998865918511,25.488820349831748,51.449869727481556,25.48874649016826
51.44992919333333,25.488783420000004,51.44998368152005,25.48882832793196,51.449864905146626,25.488754218734716
51.44992429333334,25.488791273333337,51.449978839556785,25.488836110831127,51.449859967109894,25.48876215583555
51.44991940333334,25.488799133333337,51.449973949556785,25.488843970831127,51.449855077109895,25.48877001583555
51.44991451333334,25.488806993333338,51.44996903027607,25.488851867155322,51.449850203057274,25.488777839511346
51.44990961666667,25.488814853333334,51.44996409019878,25.488859779403956,51.449845336467895,25.488785633929385
51.44990471333334,25.48882270666667,51.449959375318045,25.488867403128566,51.44984031134864,25.48879375687143
51.44989984333334,25.48883058,51.44995471498757,25.48887501740049,51.44983531167911,25.48880192259952
51.44989501333334,25.488838470000005,51.44995008588123,25.488882657765433,51.449830354118774,25.488810102234563
51.44989022,25.48884638,51.449945292547994,25.488890567765292,51.44982556078537,25.488818012234706
51.44988542666668,25.48885429,51.449940477914225,25.48889850406488,51.449820782085794,25.488825889268472
51.44988063000001,25.488862196666677,51.449935559046786,25.488906563203216,51.44981606095323,25.488833623463456
51.44987581000001,25.488870093333336,51.44993064563202,25.48891457531078,51.44981130103467,25.488841384689223
