type,latitude,longitude,altitude (m),name,desc,corr_latitude,corr_longitude
T,25.49052335,51.45275207,12.9,,,25.49053,51.45276
T,25.49051586,51.45276761,13,,,25.49052,51.45277
T,25.49051087,51.45277796,13,,,25.49052,51.45278
T,25.49050339,51.45278819,13,,,25.49051,51.45279
T,25.49049593,51.45279577,13,,,25.4905,51.4528
T,25.49048352,51.45281362,13,,,25.49049,51.45282
T,25.49047608,51.45282379,13,,,25.49048,51.45283
T,25.49047361,51.45283419,13,,,25.49048,51.45284
T,25.49046123,51.45284669,13,,,25.49047,51.45285
T,25.49045378,51.45285939,13,,,25.49046,51.45286
T,25.49044645,51.45287214,13,,,25.49045,51.45288
T,25.49043421,51.45289505,13,,,25.49044,51.4529
T,25.49042442,51.45290495,13,,,25.49043,51.45291
T,25.49041465,51.45291744,13,,,25.49042,51.45292
T,25.49040246,51.45293237,13,,,25.49041,51.45294
T,25.49039516,51.45294235,13,,,25.4904,51.45295
T,25.49038545,51.45295997,13,,,25.49039,51.45296
T,25.49037576,51.45296974,13,,,25.49038,51.45297
T,25.49036851,51.45297966,13,,,25.49037,51.45298
T,25.49036609,51.45298469,13,,,25.49037,51.45299
T,25.49035645,51.45299961,13,,,25.49036,51.453
T,25.49035163,51.45300187,13,,,25.49036,51.45301
T,25.49034201,51.45301675,13,,,25.49035,51.45302
T,25.4903348,51.45302399,13,,,25.49034,51.45303
T,25.49032521,51.4530388,13,,,25.49033,51.45304
T,25.49031563,51.453051,13,,,25.49032,51.45306
T,25.49030608,51.45306317,13,,,25.49031,51.45307
T,25.4903061,51.45307092,13,,,25.49031,51.45308
T,25.49030136,51.45308088,13,,,25.49031,51.45309
T,25.49029187,51.45309819,13,,,25.4903,51.4531
T,25.49028476,51.45312078,13,,,25.49029,51.45313
T,25.49027529,51.45313541,13,,,25.49028,51.45314
T,25.49027293,51.45315578,13,,,25.49028,51.45316
T,25.49027057,51.45316071,13,,,25.49028,51.45317
T,25.49025877,51.45318276,13.1,,,25.49026,51.45319
T,25.49025171,51.45320007,13.1,,,25.49026,51.45321
T,25.49024466,51.45321479,13.1,,,25.49025,51.45322
T,25.49024231,51.45322481,13.1,,,25.49025,51.45323
T,25.49023762,51.45323461,13.1,,,25.49024,51.45324
T,25.49023527,51.45324462,13.2,,,25.49024,51.45325
T,25.49023059,51.45325439,13.2,,,25.49024,51.45326
T,25.49022357,51.45327158,13.2,,,25.49023,51.45328
T,25.49022124,51.45328923,13.2,,,25.49023,51.45329
T,25.49021424,51.45330128,13.2,,,25.49022,51.45331
T,25.49021424,51.45331659,13.2,,,25.49022,51.45332
T,25.49020725,51.45333371,13.3,,,25.49021,51.45334
T,25.4902026,51.4533434,13.3,,,25.49021,51.45335
T,25.4902026,51.45335615,13.3,,,25.49021,51.45336
T,25.49019563,51.45336811,13.3,,,25.4902,51.45337
T,25.49019098,51.45338032,13.3,,,25.4902,51.45339
T,25.49018635,51.45338997,13.3,,,25.49019,51.45339
T,25.4901794,51.45340697,13.4,,,25.49018,51.45341
T,25.49017478,51.45341914,13.4,,,25.49018,51.45342
T,25.49016785,51.45343609,13.4,,,25.49017,51.45344
T,25.49016093,51.45344794,13.4,,,25.49017,51.45345
T,25.49015403,51.45346738,13.4,,,25.49016,51.45347
T,25.49015173,51.45347723,13.5,,,25.49016,51.45348
T,25.49014484,51.45349156,13.5,,,25.49015,51.4535
T,25.49014025,51.45350617,13.5,,,25.49015,51.45351
T,25.49013338,51.45352298,13.5,,,25.49014,51.45353
T,25.49012652,51.45353725,13.5,,,25.49013,51.45354
T,25.49012423,51.45354452,13.6,,,25.49013,51.45355
T,25.49011739,51.45356128,13.6,,,25.49012,51.45357
T,25.49011283,51.45356823,13.6,,,25.49012,51.45357
T,25.49011283,51.45357832,13.6,,,25.49012,51.45358
T,25.49011055,51.45359314,13.6,,,25.49012,51.4536
T,25.490106,51.45360511,13.6,,,25.49011,51.45361
T,25.49009918,51.45362431,13.6,,,25.4901,51.45363
T,25.49009011,51.4536532,13.7,,,25.4901,51.45366
T,25.49008332,51.45365975,13.7,,,25.49009,51.45366
T,25.4900788,51.45367416,13.7,,,25.49008,51.45368
T,25.49007654,51.4536889,13.7,,,25.49008,51.45369
T,25.49007202,51.45370328,13.7,,,25.49008,51.45371
T,25.49006977,51.453718,13.7,,,25.49007,51.45372
T,25.49006301,51.45373702,13.8,,,25.49007,51.45374
T,25.49005626,51.453751,13.8,,,25.49006,51.45376
T,25.49005176,51.45376031,13.8,,,25.49006,51.45377
T,25.49004727,51.45377461,13.8,,,25.49005,51.45378
T,25.49004279,51.4537864,13.8,,,25.49005,51.45379
T,25.49003607,51.45380281,13.9,,,25.49004,51.45381
T,25.4900316,51.45381707,13.9,,,25.49004,51.45382
T,25.49002937,51.45383169,13.9,,,25.49003,51.45384
T,25.49002267,51.45384554,13.9,,,25.49003,51.45385
T,25.49001821,51.45385725,13.9,,,25.49002,51.45386
T,25.49001598,51.45386934,13.9,,,25.49002,51.45387
T,25.49000931,51.45388564,14,,,25.49001,51.45389
T,25.49000486,51.4538998,14,,,25.49001,51.4539
T,25.49000264,51.45391436,14,,,25.49001,51.45392
T,25.4899982,51.45392352,14,,,25.49,51.45393
T,25.48999156,51.45394471,14,,,25.49,51.45395
T,25.48998492,51.45396338,14.1,,,25.48999,51.45397
T,25.48998271,51.45397291,14.1,,,25.48999,51.45398
T,25.48997609,51.45398658,14.1,,,25.48998,51.45399
T,25.48996947,51.45399774,14.1,,,25.48997,51.454
T,25.48996727,51.45400724,14.1,,,25.48997,51.45401
T,25.48995847,51.45402539,14.2,,,25.48996,51.45403
T,25.48995628,51.45403983,14.2,,,25.48996,51.45404
T,25.48995188,51.4540464,14.2,,,25.48996,51.45405
T,25.48994969,51.45406082,14.2,,,25.48995,51.45407
T,25.4899475,51.45406534,14.2,,,25.48995,51.45407
T,25.48994312,51.45407437,14.2,,,25.48995,51.45408
T,25.48993875,51.45409574,14.2,,,25.48994,51.4541
T,25.48993656,51.45409777,14.2,,,25.48994,51.4541
T,25.48993219,51.45411665,14.2,,,25.48994,51.45412
T,25.4899322,51.45413395,14.2,,,25.48994,51.45414
T,25.4899322,51.4541463,14.2,,,25.48994,51.45415
T,25.48993002,51.45416808,14.2,,,25.48994,51.45417
T,25.48992566,51.4541795,14.2,,,25.48993,51.45418
T,25.48991912,51.45419044,14.2,,,25.48992,51.4542
T,25.48991912,51.45420278,14.2,,,25.48992,51.45421
T,25.48991695,51.45421217,14.1,,,25.48992,51.45422
T,25.48991695,51.45421957,14.1,,,25.48992,51.45422
T,25.4899126,51.45423341,14.1,,,25.48992,51.45424
T,25.48991043,51.45424526,14,,,25.48992,51.45425
T,25.48990391,51.45425859,14,,,25.48991,51.45426
T,25.48990392,51.45426844,14,,,25.48991,51.45427
T,25.48989958,51.45427978,14,,,25.4899,51.45428
T,25.48989742,51.45429897,13.9,,,25.4899,51.4543
T,25.48989525,51.45431078,13.9,,,25.4899,51.45432
T,25.48989309,51.45431274,13.9,,,25.4899,51.45432
T,25.48988898,51.45433567,13.8,,,25.48989,51.45434
T,25.48988898,51.45434321,13.8,,,25.48989,51.45435
T,25.48988898,51.45435528,13.7,,,25.48989,51.45436
T,25.48988898,51.45437941,13.6,,,25.48989,51.45438
T,25.48988747,51.45439309,13.6,,,25.48989,51.4544
T,25.48988596,51.45441429,13.5,,,25.48989,51.45442
T,25.48987992,51.45444478,13.4,,,25.48988,51.45445
T,25.4898769,51.45445248,13.4,,,25.48988,51.45446
T,25.4898769,51.4544585,13.4,,,25.48988,51.45446
T,25.4898754,51.4544676,13.4,,,25.48988,51.45447
T,25.4898724,51.45447828,13.4,,,25.48988,51.45448
T,25.4898724,51.4544888,13.4,,,25.48988,51.45449
T,25.4898724,51.45449932,13.4,,,25.48988,51.4545
T,25.4898724,51.45450684,13.4,,,25.48988,51.45451
T,25.4898724,51.45451886,13.3,,,25.48988,51.45452
T,25.48987241,51.45452938,13.3,,,25.48988,51.45453
T,25.48987241,51.45454291,13.3,,,25.48988,51.45455
T,25.4898709,51.45455348,13.3,,,25.48988,51.45456
T,25.48987091,51.45456701,13.3,,,25.48988,51.45457
T,25.48987091,51.45457452,13.2,,,25.48988,51.45458
T,25.48987091,51.45458053,13.2,,,25.48988,51.45459
T,25.48987091,51.45458804,13.2,,,25.48988,51.45459
T,25.48987091,51.45459255,13.2,,,25.48988,51.4546
T,25.48987091,51.45459856,13.2,,,25.48988,51.4546
T,25.4898679,51.45460765,13.2,,,25.48987,51.45461
T,25.48986643,51.45461518,13.2,,,25.48987,51.45462
T,25.48986649,51.45462418,13.2,,,25.48987,51.45463
T,25.4898636,51.45463473,13.2,,,25.48987,51.45464
T,25.48986222,51.45464375,13.1,,,25.48987,51.45465
T,25.48985932,51.45465578,13.1,,,25.48986,51.45466
T,25.48985933,51.45466028,13.1,,,25.48986,51.45467
T,25.48985784,51.4546663,13.1,,,25.48986,51.45467
T,25.48985787,51.45467379,13.1,,,25.48986,51.45468
T,25.48985492,51.4546888,13.1,,,25.48986,51.45469
T,25.48985495,51.45469479,13.1,,,25.48986,51.4547
T,25.48985495,51.45469929,13,,,25.48986,51.4547
T,25.48985342,51.45470678,13,,,25.48986,51.45471
T,25.48985035,51.45472026,13,,,25.48986,51.45473
T,25.48985035,51.45472475,13,,,25.48986,51.45473
T,25.48985033,51.45473673,12.9,,,25.48986,51.45474
T,25.48985034,51.45474421,12.9,,,25.48986,51.45475
T,25.48985035,51.4547502,12.9,,,25.48986,51.45476
T,25.48984885,51.45476365,12.9,,,25.48985,51.45477
T,25.48984886,51.45476964,12.8,,,25.48985,51.45477
T,25.48984887,51.45477862,12.8,,,25.48985,51.45478
T,25.48984587,51.45478755,12.8,,,25.48985,51.45479
T,25.48984588,51.45479502,12.7,,,25.48985,51.4548
T,25.48984589,51.45480699,12.7,,,25.48985,51.45481
T,25.48984441,51.45481742,12.7,,,25.48985,51.45482
T,25.48984443,51.4548249,12.6,,,25.48985,51.45483
T,25.48984446,51.45483686,12.6,,,25.48985,51.45484
T,25.48984447,51.45484434,12.6,,,25.48985,51.45485
T,25.4898445,51.45485481,12.5,,,25.48985,51.45486
T,25.48984452,51.45486379,12.5,,,25.48985,51.45487
T,25.48984455,51.45487575,12.4,,,25.48985,51.45488
T,25.48984456,51.45487725,12.4,,,25.48985,51.45488
T,25.4898446,51.4548937,12.4,,,25.48985,51.4549
T,25.48984463,51.45490418,12.3,,,25.48985,51.45491
T,25.48984164,51.45491302,12.3,,,25.48985,51.45492
T,25.48984165,51.45491751,12.3,,,25.48985,51.45492
T,25.48984016,51.45492193,12.3,,,25.48985,51.45493
T,25.48984017,51.45492641,12.3,,,25.48985,51.45493
T,25.48983719,51.45493374,12.2,,,25.48984,51.45494
T,25.48983572,51.45494263,12.2,,,25.48984,51.45495
T,25.48983276,51.4549574,12.2,,,25.48984,51.45496
T,25.48983279,51.45496487,12.1,,,25.48984,51.45497
T,25.48983132,51.45497374,12.1,,,25.48984,51.45498
T,25.48983132,51.45498269,12.1,,,25.48984,51.45499
T,25.4898283,51.45498846,12,,,25.48983,51.45499
T,25.48982675,51.4549958,12,,,25.48983,51.455
T,25.48982368,51.45500154,12,,,25.48983,51.45501
T,25.48982361,51.45501044,12,,,25.48983,51.45502
T,25.48982196,51.45502812,11.9,,,25.48983,51.45503
T,25.48981899,51.45504427,11.8,,,25.48982,51.45505
T,25.48981899,51.45505021,11.8,,,25.48982,51.45506
T,25.4898175,51.45506347,11.8,,,25.48982,51.45507
T,25.48981455,51.45506919,11.8,,,25.48982,51.45507
T,25.48981454,51.45508106,11.7,,,25.48982,51.45509
T,25.48981452,51.45509442,11.7,,,25.48982,51.4551
T,25.48981452,51.45510184,11.6,,,25.48982,51.45511
T,25.48981451,51.45510778,11.6,,,25.48982,51.45511
T,25.48981451,51.45511371,11.6,,,25.48982,51.45512
T,25.48981305,51.4551225,11.6,,,25.48982,51.45513
T,25.48981305,51.45513289,11.5,,,25.48982,51.45514
T,25.48981012,51.45514301,11.5,,,25.48982,51.45515
T,25.48980866,51.45515623,11.4,,,25.48981,51.45516
T,25.48980573,51.45516485,11.4,,,25.48981,51.45517
T,25.48980573,51.45517819,11.4,,,25.48981,51.45518
T,25.48980573,51.45518263,11.3,,,25.48981,51.45519
T,25.48980573,51.45519004,11.3,,,25.48981,51.4552
T,25.48980427,51.45520323,11.3,,,25.48981,51.45521
T,25.48980427,51.45520916,11.2,,,25.48981,51.45521
T,25.48980428,51.45522249,11.2,,,25.48981,51.45523
T,25.48980136,51.4552281,11.2,,,25.48981,51.45523
T,25.4897999,51.45523978,11.1,,,25.4898,51.45524
T,25.48979699,51.45525721,11.1,,,25.4898,51.45526
T,25.48979699,51.45526609,11,,,25.4898,51.45527
T,25.48979699,51.45527349,11,,,25.4898,51.45528
T,25.48979699,51.4552794,11,,,25.4898,51.45528
T,25.48979699,51.45528828,11,,,25.4898,51.45529
T,25.48979699,51.45529715,11,,,25.4898,51.4553
T,25.48979699,51.45530159,11,,,25.4898,51.45531
T,25.48979699,51.45531047,11,,,25.4898,51.45532
T,25.48979699,51.45531934,11,,,25.4898,51.45532
T,25.48979699,51.45532674,11,,,25.4898,51.45533
T,25.489797,51.45533709,11,,,25.4898,51.45534
T,25.489797,51.45534597,11,,,25.4898,51.45535
T,25.489797,51.4553578,11,,,25.4898,51.45536
T,25.489797,51.45536964,11,,,25.4898,51.45537
T,25.489797,51.45537703,11,,,25.4898,51.45538
T,25.489797,51.45538147,11,,,25.4898,51.45539
T,25.489797,51.45539331,11,,,25.4898,51.4554
T,25.48979555,51.45540641,11,,,25.4898,51.45541
T,25.48979556,51.45541233,11,,,25.4898,51.45542
T,25.48979265,51.45542225,11,,,25.4898,51.45543
T,25.48979265,51.45543407,11,,,25.4898,51.45544
T,25.48979266,51.45544147,11,,,25.4898,51.45545
T,25.48979266,51.45544738,11,,,25.4898,51.45545
T,25.48979267,51.45545921,11,,,25.4898,51.45546
T,25.48979268,51.45546957,11,,,25.4898,51.45547
T,25.48979269,51.45547845,11,,,25.4898,51.45548
T,25.4897927,51.45548733,11,,,25.4898,51.45549
T,25.48979272,51.45549621,11,,,25.4898,51.4555
T,25.48979272,51.45550951,11,,,25.4898,51.45551
T,25.48979271,51.45551837,11,,,25.4898,51.45552
T,25.48979271,51.45552724,11,,,25.4898,51.45553
T,25.48979271,51.45553906,11,,,25.4898,51.45554
T,25.48979271,51.4555494,11,,,25.4898,51.45555
T,25.48979271,51.45555384,11,,,25.4898,51.45556
T,25.48979271,51.45556714,11,,,25.4898,51.45557
T,25.48979271,51.45557157,11,,,25.4898,51.45558
T,25.48979271,51.45558487,11,,,25.4898,51.45559
T,25.48979271,51.45559374,11,,,25.4898,51.4556
T,25.48979271,51.45560113,11,,,25.4898,51.45561
T,25.48979417,51.45560732,11,,,25.4898,51.45561
T,25.48979417,51.45561471,11,,,25.4898,51.45562
T,25.48979417,51.45562358,11,,,25.4898,51.45563
T,25.48979417,51.45563393,11,,,25.4898,51.45564
T,25.4897971,51.45564783,11,,,25.4898,51.45565
T,25.4897971,51.45566114,11,,,25.4898,51.45567
T,25.4897971,51.45567445,11,,,25.4898,51.45568
T,25.48979856,51.45568215,11,,,25.4898,51.45569
T,25.48979856,51.45568659,11,,,25.4898,51.45569
T,25.48979856,51.45569251,11,,,25.4898,51.4557
T,25.48979856,51.45570139,11,,,25.4898,51.45571
T,25.48979856,51.45571323,11,,,25.4898,51.45572
T,25.48979856,51.45572211,11,,,25.4898,51.45573
T,25.48979856,51.4557369,11,,,25.4898,51.45574
T,25.48980295,51.45574232,11,,,25.48981,51.45575
T,25.48980296,51.4557512,11,,,25.48981,51.45576
T,25.48980296,51.45576009,11,,,25.48981,51.45577
T,25.48980149,51.45576272,11,,,25.48981,51.45577
T,25.48980003,51.45577275,11,,,25.48981,51.45578
T,25.48980003,51.45578015,11,,,25.48981,51.45579
T,25.48980002,51.45578607,11,,,25.48981,51.45579
T,25.48980002,51.45579494,11,,,25.48981,51.4558
T,25.48979709,51.45581201,11,,,25.4898,51.45582
T,25.48979563,51.45582349,11,,,25.4898,51.45583
T,25.48979563,51.45583236,11,,,25.4898,51.45584
T,25.48979271,51.45584199,11,,,25.4898,51.45585
T,25.48979124,51.45585049,11,,,25.4898,51.45586
T,25.48978979,51.45585604,11.1,,,25.48979,51.45586
T,25.48978688,51.45586272,11.1,,,25.48979,51.45587
T,25.48978688,51.45587452,11.1,,,25.48979,51.45588
T,25.48978909,51.45589432,11.2,,,25.48979,51.4559
T,25.48978359,51.45590012,11.2,,,25.48979,51.45591
T,25.48977992,51.45591314,11.2,,,25.48978,51.45592
T,25.48977992,51.45592414,11.3,,,25.48978,51.45593
T,25.48977992,51.45593513,11.3,,,25.48978,51.45594
T,25.48977992,51.45594429,11.3,,,25.48978,51.45595
T,25.48977991,51.45595345,11.3,,,25.48978,51.45596
T,25.48977991,51.45596811,11.4,,,25.48978,51.45597
T,25.48977991,51.4559791,11.4,,,25.48978,51.45598
T,25.48977991,51.45598826,11.4,,,25.48978,51.45599
T,25.48977991,51.45599925,11.5,,,25.48978,51.456
T,25.48977991,51.45601207,11.5,,,25.48978,51.45602
T,25.48977991,51.45602856,11.6,,,25.48978,51.45603
T,25.48977991,51.45603955,11.6,,,25.48978,51.45604
T,25.48977991,51.45605604,11.6,,,25.48978,51.45606
T,25.48977991,51.45606703,11.7,,,25.48978,51.45607
T,25.48977991,51.45607619,11.7,,,25.48978,51.45608
T,25.48978174,51.45608529,11.7,,,25.48979,51.45609
T,25.48978174,51.45609079,11.7,,,25.48979,51.4561
T,25.48978174,51.45610362,11.8,,,25.48979,51.45611
T,25.48978174,51.45611095,11.8,,,25.48979,51.45612
T,25.48978174,51.45612011,11.8,,,25.48979,51.45613
T,25.48978174,51.45614026,11.8,,,25.48979,51.45615
T,25.48978174,51.45614759,11.8,,,25.48979,51.45615
T,25.48978174,51.45616042,11.8,,,25.48979,51.45617
T,25.48978174,51.45616592,11.8,,,25.48979,51.45617
T,25.48978174,51.45618241,11.8,,,25.48979,51.45619
T,25.48978151,51.4561971,11.8,,,25.48979,51.4562
T,25.48978129,51.45620995,11.8,,,25.48979,51.45621
T,25.489781,51.45622647,11.8,,,25.48979,51.45623
T,25.48978093,51.45623564,11.8,,,25.48979,51.45624
T,25.4897809,51.45624296,11.8,,,25.48979,51.45625
T,25.48978086,51.45625945,11.8,,,25.48979,51.45626
T,25.48978084,51.45626494,11.8,,,25.48979,51.45627
T,25.4897808,51.45627959,11.8,,,25.48979,51.45628
T,25.48978077,51.45629058,11.8,,,25.48979,51.4563
T,25.48978074,51.45630156,11.8,,,25.48979,51.45631
T,25.48978072,51.45630889,11.8,,,25.48979,51.45631
T,25.48978068,51.45631987,11.8,,,25.48979,51.45632
T,25.48978065,51.45633086,11.8,,,25.48979,51.45634
T,25.48978063,51.45634184,11.8,,,25.48979,51.45635
T,25.48978066,51.45634733,11.8,,,25.48979,51.45635
T,25.48978068,51.45635282,11.8,,,25.48979,51.45636
T,25.48978075,51.45636747,11.8,,,25.48979,51.45637
T,25.48978443,51.45637296,11.8,,,25.48979,51.45638
T,25.48978438,51.45638578,11.8,,,25.48979,51.45639
T,25.48978436,51.45639128,11.8,,,25.48979,51.4564
T,25.48978617,51.45640227,11.8,,,25.48979,51.45641
T,25.48978597,51.45642058,11.9,,,25.48979,51.45643
T,25.48978585,51.4564279,11.9,,,25.48979,51.45643
T,25.48978568,51.45643887,12,,,25.48979,51.45644
T,25.48978559,51.45644619,12,,,25.48979,51.45645
T,25.48978553,51.45645168,12,,,25.48979,51.45646
T,25.48978895,51.45647367,12.1,,,25.48979,51.45648
T,25.48978878,51.4564883,12.1,,,25.48979,51.45649
T,25.48979053,51.45649564,12.1,,,25.4898,51.4565
T,25.48979046,51.45650661,12.2,,,25.4898,51.45651
T,25.48979041,51.45651759,12.2,,,25.4898,51.45652
T,25.48979412,51.45652865,12.2,,,25.4898,51.45653
T,25.48979375,51.45653958,12.3,,,25.4898,51.45654
T,25.48979343,51.45654869,12.3,,,25.4898,51.45655
T,25.48979309,51.45655595,12.3,,,25.4898,51.45656
T,25.48979268,51.45656502,12.4,,,25.4898,51.45657
T,25.48979193,51.45658134,12.4,,,25.4898,51.45659
T,25.48979159,51.45658858,12.5,,,25.4898,51.45659
T,25.48979093,51.45660305,12.5,,,25.4898,51.45661
T,25.48979057,51.45661576,12.6,,,25.4898,51.45662
T,25.48979185,51.4566325,12.6,,,25.4898,51.45664
T,25.48979281,51.45664371,12.7,,,25.4898,51.45665
T,25.48979406,51.45666052,12.7,,,25.4898,51.45667
T,25.4897964,51.45667171,12.7,,,25.4898,51.45668
T,25.4897967,51.4566773,12.7,,,25.4898,51.45668
T,25.48979732,51.45668848,12.7,,,25.4898,51.45669
T,25.48979773,51.45669594,12.7,,,25.4898,51.4567
T,25.48979786,51.45670515,12.7,,,25.4898,51.45671
T,25.4897978,51.45671798,12.7,,,25.4898,51.45672
T,25.48979783,51.45672717,12.7,,,25.4898,51.45673
T,25.48979786,51.45673635,12.7,,,25.4898,51.45674
T,25.48979792,51.4567584,12.7,,,25.4898,51.45676
T,25.48979978,51.45677684,12.7,,,25.4898,51.45678
T,25.48980163,51.45678245,12.7,,,25.48981,51.45679
T,25.48980347,51.45679355,12.7,,,25.48981,51.4568
T,25.48980697,51.45680837,12.7,,,25.48981,51.45681
T,25.48980694,51.45681387,12.7,,,25.48981,51.45682
T,25.48980866,51.45682677,12.7,,,25.48981,51.45683
T,25.4898122,51.45683611,12.7,,,25.48982,51.45684
T,25.48981396,51.45684352,12.7,,,25.48982,51.45685
T,25.48981387,51.45685818,12.7,,,25.48982,51.45686
T,25.48981743,51.4568657,12.7,,,25.48982,51.45687
T,25.48981916,51.45688046,12.7,,,25.48982,51.45689
T,25.48981912,51.45689148,12.7,,,25.48982,51.4569
T,25.48982089,51.45690075,12.6,,,25.48983,51.45691
T,25.48982627,51.45691206,12.6,,,25.48983,51.45692
T,25.48982809,51.45691952,12.6,,,25.48983,51.45692
T,25.48982801,51.45693789,12.6,,,25.48983,51.45694
T,25.48983351,51.4569548,12.6,,,25.48984,51.45696
T,25.48983347,51.45696399,12.6,,,25.48984,51.45697
T,25.48983528,51.45697698,12.6,,,25.48984,51.45698
T,25.48983893,51.45699196,12.6,,,25.48984,51.457
T,25.48983892,51.45699932,12.5,,,25.48984,51.457
T,25.48984079,51.45700684,12.5,,,25.48985,51.45701
T,25.48984077,51.45702156,12.5,,,25.48985,51.45703
T,25.4898445,51.45703661,12.5,,,25.48985,51.45704
T,25.4898445,51.45703845,12.5,,,25.48985,51.45704
T,25.48984824,51.45704982,12.5,,,25.48985,51.45705
T,25.48985011,51.4570592,12.5,,,25.48986,51.45706
T,25.48985198,51.45706674,12.5,,,25.48986,51.45707
T,25.48985574,51.45707445,12.5,,,25.48986,51.45708
T,25.48985573,51.45708367,12.5,,,25.48986,51.45709
T,25.48985759,51.45709491,12.5,,,25.48986,51.4571
T,25.48985945,51.45711169,12.5,,,25.48986,51.45712
T,25.48986321,51.45712681,12.5,,,25.48987,51.45713
T,25.48986696,51.45714563,12.5,,,25.48987,51.45715
T,25.48986693,51.4571604,12.5,,,25.48987,51.45717
T,25.48986881,51.45716798,12.5,,,25.48987,51.45717
T,25.4898688,51.45717906,12.5,,,25.48987,51.45718
T,25.48987258,51.45719424,12.5,,,25.48988,51.4572
T,25.48987255,51.45720717,12.5,,,25.48988,51.45721
T,25.48987441,51.45722215,12.5,,,25.48988,51.45723
T,25.48987437,51.45723322,12.5,,,25.48988,51.45724
T,25.48987437,51.45724247,12.5,,,25.48988,51.45725
T,25.48987439,51.45725543,12.5,,,25.48988,51.45726
T,25.4898744,51.45726838,12.5,,,25.48988,51.45727
T,25.48987441,51.45727949,12.5,,,25.48988,51.45728
T,25.48987442,51.45728875,12.5,,,25.48988,51.45729
T,25.48987444,51.45730541,12.5,,,25.48988,51.45731
T,25.48987444,51.45730911,12.5,,,25.48988,51.45731
T,25.48987449,51.45732395,12.5,,,25.48988,51.45733
T,25.48987451,51.45733137,12.5,,,25.48988,51.45734
T,25.48987827,51.45734291,12.6,,,25.48988,51.45735
T,25.48987832,51.45735961,12.6,,,25.48988,51.45736
T,25.48987837,51.45737446,12.6,,,25.48988,51.45738
T,25.48988215,51.45738789,12.6,,,25.48989,51.45739
T,25.489886,51.45740139,12.6,,,25.48989,51.45741
T,25.48988983,51.45741304,12.6,,,25.48989,51.45742
T,25.48989179,51.45742261,12.6,,,25.4899,51.45743
T,25.4898956,51.45743054,12.6,,,25.4899,51.45744
T,25.48989753,51.45743824,12.6,,,25.4899,51.45744
T,25.48990143,51.45745554,12.6,,,25.48991,51.45746
T,25.48990157,51.45747052,12.6,,,25.48991,51.45748
T,25.48990172,51.45748737,12.6,,,25.48991,51.45749
T,25.48990185,51.45750235,12.6,,,25.48991,51.45751
T,25.48990203,51.45752295,12.6,,,25.48991,51.45753
T,25.48990213,51.4575342,12.5,,,25.48991,51.45754
T,25.48990221,51.45754356,12.5,,,25.48991,51.45755
T,25.48990229,51.45755478,12.5,,,25.48991,51.45756
T,25.4899023,51.45755665,12.5,,,25.48991,51.45756
T,25.48990226,51.45757334,12.4,,,25.48991,51.45758
T,25.48990224,51.4575826,12.4,,,25.48991,51.45759
T,25.48990221,51.45759372,12.3,,,25.48991,51.4576
T,25.48990221,51.45761044,12.3,,,25.48991,51.45762
T,25.48990221,51.45762345,12.2,,,25.48991,51.45763
T,25.4899041,51.45763859,12.2,,,25.48991,51.45764
T,25.48990411,51.45764975,12.1,,,25.48991,51.45765
T,25.48990411,51.4576609,12.1,,,25.48991,51.45767
T,25.48990412,51.45766834,12.1,,,25.48991,51.45767
T,25.48990412,51.45768321,12,,,25.48991,51.45769
T,25.48990413,51.45769065,12,,,25.48991,51.4577
T,25.48990413,51.45770553,11.9,,,25.48991,51.45771
T,25.48990414,51.4577111,11.9,,,25.48991,51.45772
T,25.48990414,51.45772969,11.9,,,25.48991,51.45773
T,25.48990414,51.45774084,11.8,,,25.48991,51.45775
T,25.48990413,51.45775569,11.8,,,25.48991,51.45776
T,25.48990412,51.45776126,11.7,,,25.48991,51.45777
T,25.48990974,51.45777142,11.7,,,25.48991,51.45778
T,25.4899171,51.45777988,11.6,,,25.48992,51.45778
T,25.48992075,51.45778594,11.5,,,25.48993,51.45779
T,25.4899244,51.45779758,11.5,,,25.48993,51.4578
T,25.48992622,51.45780712,11.4,,,25.48993,51.45781
T,25.48992988,51.45781319,11.4,,,25.48993,51.45782
T,25.4899317,51.45782273,11.3,,,25.48994,51.45783
T,25.48992126,51.45785592,11.3,,,25.48993,51.45786
T,25.48992003,51.45786215,11.3,,,25.48993,51.45787
T,25.48992002,51.45786967,11.2,,,25.48993,51.45787
T,25.48992,51.4578822,11.2,,,25.48992,51.45789
T,25.48991999,51.45789097,11.2,,,25.48992,51.4579
T,25.48991998,51.45790349,11.1,,,25.48992,51.45791
T,25.48991996,51.45791477,11.1,,,25.48992,51.45792
T,25.48991995,51.45792729,11,,,25.48992,51.45793
T,25.48991993,51.45794107,11,,,25.48992,51.45795
T,25.48991993,51.45795235,10.9,,,25.48992,51.45796
T,25.48991995,51.45796112,10.9,,,25.48992,51.45797
T,25.48991996,51.45796739,10.9,,,25.48992,51.45797
T,25.4899212,51.45797497,10.9,,,25.48993,51.45798
T,25.48992368,51.45798136,10.8,,,25.48993,51.45799
T,25.48992492,51.45798644,10.8,,,25.48993,51.45799
T,25.48992618,51.4580003,10.7,,,25.48993,51.45801
T,25.48992745,51.45801669,10.7,,,25.48993,51.45802
T,25.48993118,51.4580307,10.6,,,25.48994,51.45804
T,25.48993244,51.45804459,10.5,,,25.48994,51.45805
